Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
Magnesium,007439-95-4,5.00E-03,1.10E+03,1.00E+00,2.50E-01,1.74E+00,NA,NA,NA,NA,4.50E+00,NA,1.00E-03,NA,4.00E-03,6.51E+02,2.43E+01,NA,1.00E+00,NA,NA
Magnesium Chlorate,010326-21-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.91E+02,NA,1.00E+00,5.70E+05,NA
Malathion,000121-75-5,5.73E-06,1.56E+02,1.65E+00,3.29E-01,1.21E+00,2.10E-02,5.24E-06,3.32E+01,2.00E-07,NA,3.13E+01,8.12E-04,2.36E+00,1.81E-06,2.80E+00,3.30E+02,1.00E-01,1.00E+00,1.43E+02,3.38E-06
Maleic Anhydride,000108-31-6,1.04E-06,2.02E+02,4.42E+00,8.85E-01,1.31E+00,8.84E-02,1.14E-05,5.43E+00,1.61E-04,NA,1.00E+00,5.25E-03,1.62E+00,3.29E-07,5.28E+01,9.81E+01,1.00E-01,1.00E+00,1.63E+05,2.50E-01
Maleic Hydrazide,000123-33-1,3.61E-09,3.67E+02,1.18E+02,2.36E+01,NA,8.17E-02,9.55E-06,3.16E+00,1.08E-09,NA,3.30E+00,1.02E-04,-8.40E-01,1.14E-09,3.06E+02,1.12E+02,1.00E-01,1.00E+00,4.51E+03,3.68E-08
Malononitrile,000109-77-3,6.28E-09,2.19E+02,8.58E+01,1.72E+01,1.19E+00,1.15E-01,1.36E-05,3.16E+00,5.36E-06,NA,3.33E+00,2.66E-04,-6.00E-01,1.98E-09,3.20E+01,6.61E+01,1.00E-01,1.00E+00,1.33E+05,2.00E-01
Mancozeb,008018-01-7,NA,3.51E+02,NA,NA,NA,5.34E-02,6.24E-06,NA,2.31E-05,NA,6.08E+02,7.71E-04,1.33E+00,NA,2.00E+02,2.12E+02,1.00E-01,1.00E+00,1.00E+06,7.50E-08
Maneb,012427-38-2,1.04E-07,3.51E+02,1.68E+01,3.36E+00,NA,5.34E-02,6.24E-06,3.50E+00,2.31E-05,NA,6.08E+02,7.71E-04,1.33E+00,3.29E-08,2.00E+02,2.12E+02,1.00E-01,1.00E+00,1.00E+06,7.50E-08
Manganese (Diet),007439-96-5,4.00E-04,2.06E+03,2.50E-01,6.25E-02,7.30E+00,NA,NA,4.00E+02,NA,6.50E+01,NA,1.00E-03,NA,3.50E-04,1.25E+03,5.49E+01,NA,1.00E+00,NA,0.00E+00
Manganese (Non-diet),007439-96-5,4.00E-04,2.06E+03,2.50E-01,6.25E-02,7.30E+00,NA,NA,4.00E+02,NA,6.50E+01,NA,1.00E-03,NA,3.50E-04,1.25E+03,5.49E+01,NA,4.00E-02,NA,0.00E+00
"Me-A-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",068006-83-7,NA,4.00E+02,NA,NA,NA,5.61E-02,6.55E-06,NA,1.80E-12,NA,2.41E+04,1.04E-02,2.90E+00,NA,1.58E+02,1.97E+02,1.00E-01,1.00E+00,1.07E+04,3.66E-07
Mechlorethamine,000051-75-2,2.03E-07,1.92E+02,1.14E+01,2.28E+00,NA,6.55E-02,7.66E-06,3.16E+00,1.19E-04,NA,8.85E+01,1.07E-03,9.10E-01,6.42E-08,-6.00E+01,1.56E+02,1.00E-01,1.00E+00,1.20E+04,1.70E-01
Melphalan,003223-07-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Mephosfolan,000950-10-7,2.74E-07,1.20E+02,9.60E+00,1.92E+00,NA,4.56E-02,5.32E-06,2.26E+00,4.87E-09,NA,6.36E+02,2.37E-04,1.04E+00,8.66E-08,8.36E+01,2.69E+02,1.00E-01,1.00E+00,5.70E+01,3.18E-05
Mepiquat Chloride,024307-26-4,3.78E-11,3.68E+02,1.66E+03,3.33E+02,NA,6.74E-02,7.88E-06,3.16E+00,1.76E-10,NA,6.62E+01,3.03E-06,-2.82E+00,1.20E-11,2.23E+02,1.50E+02,1.00E-01,1.00E+00,5.00E+05,3.71E-07
Mercuric Chloride,007487-94-7,NA,3.04E+02,NA,NA,5.60E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,-2.20E-01,NA,2.77E+02,2.72E+02,NA,7.00E-02,6.90E+04,NA
Mercuric Sulfide,001344-48-5,NA,NA,NA,NA,8.17E+00,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,3.44E+02,2.33E+02,NA,1.00E+00,NA,NA
Mercury (elemental),007439-97-6,2.50E-01,3.57E+02,9.00E-01,2.25E-01,1.35E+01,3.07E-02,6.30E-06,NA,4.67E-01,5.20E+01,NA,1.00E-03,6.20E-01,4.50E-04,-3.88E+01,2.01E+02,NA,1.00E+00,6.00E-02,1.96E-03
"Mercury, Inorganic Salts",000000-01-7,2.50E-01,NA,9.00E-01,2.25E-01,NA,NA,NA,1.00E+03,NA,5.20E+01,NA,1.00E-03,NA,4.50E-04,NA,NA,NA,7.00E-02,6.00E-02,NA
Merphos,000150-50-5,1.17E+00,3.61E+02,1.37E-03,2.74E-04,1.02E+00,2.04E-02,5.03E-06,1.58E+03,9.28E-04,NA,4.90E+04,4.15E+00,7.67E+00,3.70E-01,1.00E+02,2.99E+02,1.00E-01,1.00E+00,9.97E-04,1.33E-05
Merphos Oxide,000078-48-8,1.25E-02,1.50E+02,1.90E-02,3.81E-03,1.06E+00,2.02E-02,4.98E-06,1.13E+02,1.20E-05,NA,2.35E+03,1.65E-01,5.70E+00,3.96E-03,-2.50E+01,3.15E+02,1.00E-01,1.00E+00,2.30E+00,5.30E-06
Metalaxyl,057837-19-1,1.12E-06,3.78E+02,4.25E+00,8.50E-01,NA,4.45E-02,5.20E-06,6.24E+00,1.21E-07,NA,3.86E+01,5.80E-04,1.65E+00,3.53E-07,-3.87E+01,2.79E+02,1.00E-01,1.00E+00,8.40E+03,2.48E-05
Methacrylonitrile,000126-98-7,1.20E-07,9.03E+01,1.55E+01,3.11E+00,8.00E-01,9.64E-02,1.06E-05,3.16E+00,1.01E-02,NA,1.31E+01,1.86E-03,6.80E-01,3.78E-08,-3.58E+01,6.71E+01,NA,1.00E+00,2.54E+04,7.12E+01
Methamidophos,010265-92-6,3.96E-09,2.23E+02,1.12E+02,2.24E+01,1.31E+00,5.96E-02,9.16E-06,3.16E+00,3.55E-08,NA,5.41E+00,7.44E-05,-8.00E-01,1.25E-09,4.60E+01,1.41E+02,1.00E-01,1.00E+00,1.00E+06,3.53E-05
Methanol,000067-56-1,4.25E-09,6.47E+01,1.08E+02,2.15E+01,7.91E-01,1.58E-01,1.65E-05,3.16E+00,1.86E-04,NA,1.00E+00,3.19E-04,-7.70E-01,1.34E-09,-9.76E+01,3.20E+01,1.00E-01,1.00E+00,1.00E+06,1.27E+02
Methapyrilene,000091-80-5,1.85E-05,1.74E+02,8.33E-01,1.67E-01,NA,4.65E-02,5.43E-06,3.64E+01,1.32E-10,NA,1.86E+03,4.32E-03,2.87E+00,5.86E-06,1.34E+02,2.61E+02,1.00E-01,1.00E+00,6.01E+02,5.33E-06
Methidathion,000950-37-8,3.96E-06,4.19E+02,2.04E+00,4.08E-01,NA,4.22E-02,4.93E-06,5.52E+00,2.93E-07,NA,2.12E+01,9.13E-04,2.20E+00,1.25E-06,3.90E+01,3.02E+02,1.00E-01,1.00E+00,1.87E+02,3.37E-06
Methomyl,016752-77-5,9.95E-08,2.28E+02,1.73E+01,3.46E+00,1.29E+00,4.76E-02,8.37E-06,3.16E+00,8.05E-10,NA,1.00E+01,4.82E-04,6.00E-01,3.15E-08,7.80E+01,1.62E+02,1.00E-01,1.00E+00,5.80E+04,5.40E-06
Methoprene,040596-69-8,7.91E-03,3.39E+02,2.49E-02,4.97E-03,NA,4.14E-02,4.84E-06,1.98E+03,2.82E-04,NA,5.33E+03,1.28E-01,5.50E+00,2.50E-03,5.38E+01,3.10E+02,1.00E-01,1.00E+00,1.40E+00,2.36E-05
"Methoxy-5-nitroaniline, 2-",000099-59-2,7.38E-07,3.04E+02,5.41E+00,1.08E+00,1.21E+00,4.30E-02,7.85E-06,4.33E+00,6.01E-07,NA,7.13E+01,1.69E-03,1.47E+00,2.33E-07,1.18E+02,1.68E+02,1.00E-01,1.00E+00,1.15E+02,1.91E-04
Methoxychlor,000072-43-5,3.01E-03,3.46E+02,4.36E-02,8.71E-03,1.41E+00,2.21E-02,5.59E-06,3.15E+02,8.30E-06,NA,2.69E+04,4.28E-02,5.08E+00,9.50E-04,8.70E+01,3.46E+02,1.00E-01,1.00E+00,1.00E-01,4.17E-05
"Methoxyethanol Acetate, 2-",000110-49-6,3.15E-08,1.43E+02,3.37E+01,6.74E+00,1.01E+00,6.58E-02,8.71E-06,3.16E+00,1.27E-05,NA,2.49E+00,3.96E-04,1.00E-01,9.95E-09,-7.00E+01,1.18E+02,1.00E-01,1.00E+00,1.00E+06,2.00E+00
"Methoxyethanol, 2-",000109-86-4,4.25E-09,1.24E+02,1.08E+02,2.15E+01,9.65E-01,9.52E-02,1.10E-05,3.16E+00,1.35E-05,NA,1.00E+00,1.80E-04,-7.70E-01,1.34E-09,-8.51E+01,7.61E+01,1.00E-01,1.00E+00,1.00E+06,9.50E+00
Methyl Acetate,000079-20-9,3.78E-08,9.20E+01,3.03E+01,6.05E+00,9.34E-01,9.58E-02,1.10E-05,3.16E+00,4.70E-03,NA,3.06E+00,7.92E-04,1.80E-01,1.20E-08,-9.80E+01,7.41E+01,NA,1.00E+00,2.43E+05,2.16E+02
Methyl Acrylate,000096-33-3,1.58E-07,8.02E+01,1.32E+01,2.65E+00,9.54E-01,8.60E-02,1.02E-05,3.16E+00,8.14E-03,NA,5.84E+00,1.75E-03,8.00E-01,4.98E-08,-7.65E+01,8.61E+01,NA,1.00E+00,4.94E+04,8.66E+01
Methyl Ethyl Ketone (2-Butanone),000078-93-3,4.87E-08,7.95E+01,2.61E+01,5.23E+00,8.00E-01,9.14E-02,1.02E-05,3.16E+00,2.33E-03,NA,4.51E+00,9.62E-04,2.90E-01,1.54E-08,-8.66E+01,7.21E+01,NA,1.00E+00,2.23E+05,9.06E+01
Methyl Hydrazine,000060-34-4,2.23E-09,8.75E+01,1.56E+02,3.13E+01,8.66E-01,1.29E-01,1.40E-05,3.16E+00,1.29E-06,NA,1.33E+01,1.73E-04,-1.05E+00,7.04E-10,-5.24E+01,4.61E+01,1.00E-01,1.00E+00,1.00E+06,5.00E+01
Methyl Isobutyl Ketone (4-methyl-2-pentanone),000108-10-1,5.10E-07,1.17E+02,6.69E+00,1.34E+00,7.97E-01,6.98E-02,8.35E-06,3.40E+00,5.64E-03,NA,1.26E+01,3.19E-03,1.31E+00,1.61E-07,-8.40E+01,1.00E+02,NA,1.00E+00,1.90E+04,1.99E+01
Methyl Isocyanate,000624-83-9,1.54E-07,3.95E+01,1.34E+01,2.68E+00,9.59E-01,1.17E-01,1.31E-05,3.16E+00,3.79E-02,NA,3.96E+01,2.50E-03,7.90E-01,4.87E-08,-4.50E+01,5.71E+01,1.00E-01,1.00E+00,4.83E+04,3.48E+02
Methyl Mercaptan,000074-93-1,1.51E-07,5.90E+00,1.36E+01,2.72E+00,8.67E-01,1.25E-01,1.36E-05,3.16E+00,1.28E-01,NA,1.32E+01,2.76E-03,7.80E-01,4.76E-08,-1.23E+02,4.81E+01,NA,1.00E+00,1.54E+04,1.51E+03
Methyl Mercury,022967-92-6,NA,NA,NA,NA,NA,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,NA,2.16E+02,NA,1.00E+00,NA,NA
Methyl Methacrylate,000080-62-6,6.00E-07,1.01E+02,6.10E+00,1.22E+00,9.38E-01,7.50E-02,9.21E-06,3.78E+00,1.30E-02,NA,9.14E+00,3.55E-03,1.38E+00,1.90E-07,-4.80E+01,1.00E+02,NA,1.00E+00,1.50E+04,3.85E+01
Methyl Parathion,000298-00-0,1.81E-05,3.48E+02,8.45E-01,1.69E-01,1.36E+00,2.50E-02,6.44E-06,8.44E+01,4.09E-06,NA,7.29E+02,4.16E-03,2.86E+00,5.72E-06,3.55E+01,2.63E+02,1.00E-01,1.00E+00,3.77E+01,3.50E-06
Methyl Phosphonic Acid,000993-13-5,NA,2.48E+02,NA,NA,NA,9.06E-02,1.06E-05,3.16E+00,4.99E-10,NA,1.41E+00,9.84E-05,-1.00E+00,NA,1.09E+02,9.60E+01,1.00E-01,1.00E+00,2.00E+04,3.27E-04
Methyl Styrene (Mixed Isomers),025013-15-4,7.55E-05,1.64E+02,3.69E-01,7.38E-02,NA,7.89E-02,9.22E-06,NA,1.23E-01,NA,7.16E+02,6.60E-02,3.44E+00,2.39E-05,-8.63E+01,1.18E+02,NA,1.00E+00,8.90E+01,1.70E+00
"Methyl dicyclohexylamine, n-",007560-83-0,1.28E-04,2.65E+02,2.71E-01,5.43E-02,NA,5.64E-02,6.59E-06,1.30E+02,4.95E-03,NA,1.77E+02,3.67E-02,3.71E+00,4.05E-05,2.37E+01,1.95E+02,NA,1.00E+00,6.57E+02,1.21E-02
Methyl methanesulfonate,000066-27-3,NA,2.03E+02,NA,NA,1.29E+00,7.89E-02,1.06E-05,3.16E+00,1.65E-04,NA,4.33E+00,1.38E-04,-6.60E-01,NA,2.00E+01,1.10E+02,1.00E-01,1.00E+00,2.00E+05,3.10E-01
Methyl tert-Butyl Ether (MTBE),001634-04-4,2.18E-07,5.52E+01,1.10E+01,2.19E+00,7.35E-01,7.53E-02,8.59E-06,1.51E+00,2.40E-02,NA,1.16E+01,2.11E-03,9.40E-01,6.88E-08,-1.09E+02,8.82E+01,NA,1.00E+00,5.10E+04,2.50E+02
"Methyl-1,4-benzenediamine dihydrochloride, 2-",000615-45-2,2.18E-10,5.59E+02,6.03E+02,1.21E+02,NA,5.65E-02,6.60E-06,3.16E+00,2.61E-16,NA,2.02E+02,5.39E-06,-2.06E+00,6.89E-11,2.40E+02,1.95E+02,1.00E-01,1.00E+00,3.90E+02,4.12E-12
"Methyl-1-nitroanthraquinone, 2-",000129-15-7,NA,4.31E+02,NA,NA,NA,4.58E-02,5.35E-06,3.38E+01,5.64E-10,NA,1.30E+04,1.45E-02,3.71E+00,NA,2.71E+02,2.67E+02,1.00E-01,1.00E+00,2.08E-01,2.92E-09
"Methyl-2-Pentanol, 4-",000108-11-2,6.73E-07,1.32E+02,5.70E+00,1.14E+00,8.08E-01,6.89E-02,8.32E-06,5.93E+00,1.82E-03,NA,8.16E+00,5.44E-03,1.43E+00,2.13E-07,-9.00E+01,1.02E+02,NA,1.00E+00,1.64E+04,5.30E+00
"Methyl-5-Nitroaniline, 2-",000099-55-8,1.85E-06,2.88E+02,3.17E+00,6.34E-01,NA,6.67E-02,7.79E-06,7.96E+00,7.93E-07,NA,1.79E+02,3.84E-03,1.87E+00,5.86E-07,1.06E+02,1.52E+02,1.00E-01,1.00E+00,6.13E+02,5.88E-04
"Methyl-N-nitro-N-nitrosoguanidine, N-",000070-25-7,NA,3.25E+02,NA,NA,NA,6.82E-02,7.97E-06,3.16E+00,4.99E-11,NA,7.20E+01,5.72E-05,-9.20E-01,NA,1.18E+02,1.47E+02,1.00E-01,1.00E+00,1.00E+06,1.20E-04
"Methylaniline Hydrochloride, 2-",000636-21-5,5.22E-07,2.00E+02,6.60E+00,1.32E+00,NA,6.93E-02,8.09E-06,3.45E+00,8.09E-05,NA,1.15E+02,2.96E-03,1.32E+00,1.65E-07,-1.63E+01,1.44E+02,1.00E-01,1.00E+00,1.66E+04,2.60E-01
"Methylanthraquinone, 1-Amino-2-",000082-28-0,NA,4.18E+02,NA,NA,NA,4.96E-02,5.79E-06,5.89E+01,5.07E-11,NA,4.03E+03,5.30E-03,4.07E+00,NA,2.06E+02,2.37E+02,1.00E-01,1.00E+00,3.32E-01,3.76E-08
Methylarsonic acid,000124-58-3,NA,2.43E+02,NA,NA,NA,7.05E-02,8.23E-06,3.16E+00,NA,NA,4.39E+01,4.19E-05,-1.18E+00,NA,1.61E+02,1.40E+02,1.00E-01,1.00E+00,2.56E+05,1.23E-04
"Methylaziridine, 2-",000075-55-8,3.37E-08,6.70E+01,3.24E+01,6.47E+00,NA,1.28E-01,1.50E-05,3.16E+00,4.09E-04,NA,1.45E+01,2.99E-04,1.30E-01,1.07E-08,-6.50E+01,5.71E+01,1.00E-01,1.00E+00,1.00E+06,1.40E+02
"Methylbenzene,1-4-diamine monohydrochloride, 2-",074612-12-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Methylbenzene-1,4-diamine sulfate, 2-",000615-50-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
"Methylcholanthrene, 3-",000056-49-5,6.58E-02,2.80E+02,7.28E-03,1.46E-03,1.28E+00,2.41E-02,6.14E-06,8.00E+03,2.14E-04,NA,9.62E+05,9.03E-01,6.42E+00,2.08E-02,1.80E+02,2.68E+02,1.00E-01,1.00E+00,2.90E-03,4.30E-08
"Methylchrysene, 5-",003697-24-3,NA,4.11E+02,NA,NA,NA,4.89E-02,5.71E-06,4.69E+03,7.77E-05,NA,2.95E+05,7.38E-01,6.07E+00,NA,1.18E+02,2.42E+02,1.30E-01,1.00E+00,6.20E-02,5.45E-07
Methylcyclohexane,000108-87-2,1.02E-04,1.01E+02,3.10E-01,6.20E-02,7.69E-01,7.00E-02,8.27E-06,1.85E+02,1.76E+01,NA,2.34E+02,1.10E-01,3.61E+00,3.22E-05,-1.27E+02,9.82E+01,NA,1.00E+00,1.40E+01,4.60E+01
"Methylcyclohexylamine, n-",000100-60-7,3.15E-06,1.47E+02,2.33E+00,4.66E-01,NA,8.12E-02,9.49E-06,1.12E+01,1.23E-03,NA,3.76E+01,8.98E-03,2.10E+00,9.95E-07,-3.54E+01,1.13E+02,NA,1.00E+00,8.61E+04,4.61E+00
Methylcyclopentane,000096-37-7,5.86E-05,7.18E+01,4.27E-01,8.55E-02,7.49E-01,7.88E-02,8.93E-06,7.77E+01,1.48E+01,NA,1.28E+02,9.17E-02,3.37E+00,1.85E-05,-1.43E+02,8.42E+01,NA,1.00E+00,4.20E+01,1.38E+02
Methylene Chloride,000075-09-2,4.45E-07,4.00E+01,7.25E+00,1.45E+00,1.33E+00,9.99E-02,1.25E-05,2.31E+01,1.33E-01,NA,2.17E+01,3.54E-03,1.25E+00,1.40E-07,-9.51E+01,8.49E+01,NA,1.00E+00,1.30E+04,4.35E+02
"Methylene bis(2-methylaniline), 4,4-",000838-88-0,NA,3.91E+02,NA,NA,NA,5.12E-02,5.98E-06,NA,7.40E-10,NA,5.70E+03,1.27E-02,3.28E+00,NA,1.43E+02,2.26E+02,1.00E-01,1.00E+00,8.38E+00,9.10E-07
Methylene bisthiocyanate,006317-18-6,NA,2.89E+02,NA,NA,NA,7.40E-02,8.64E-06,3.16E+00,1.07E-06,NA,1.11E+01,7.51E-04,6.20E-01,NA,5.21E+01,1.30E+02,1.00E-01,1.00E+00,2.87E+04,1.97E-03
"Methylene-bis(2-chloroaniline), 4,4'-",000101-14-4,2.03E-04,3.79E+02,2.08E-01,4.16E-02,NA,4.58E-02,5.35E-06,1.75E+02,4.66E-10,NA,5.70E+03,1.97E-02,3.91E+00,6.42E-05,1.10E+02,2.67E+02,1.00E-01,1.00E+00,1.39E+01,3.93E-06
"Methylene-bis(N,N-dimethyl) Aniline, 4,4'-",000101-61-1,5.86E-04,3.90E+02,1.12E-01,2.25E-02,NA,4.73E-02,5.53E-06,3.56E+02,4.95E-06,NA,2.67E+03,8.44E-02,4.37E+00,1.85E-04,9.15E+01,2.54E+02,1.00E-01,1.00E+00,5.49E+00,3.32E-06
"Methylenebisbenzenamine, 4,4'-",000101-77-9,9.73E-07,3.98E+02,4.61E+00,9.21E-01,NA,5.59E-02,6.53E-06,1.50E+01,6.46E-10,NA,2.13E+03,1.38E-03,1.59E+00,3.07E-07,9.25E+01,1.98E+02,1.00E-01,1.00E+00,1.00E+03,2.07E-06
"Methylenedianiline dihydrochloride, 4,4-",013552-44-8,NA,6.27E+02,NA,NA,NA,4.96E-02,5.80E-06,NA,1.33E-18,NA,4.06E+03,3.01E-05,-5.80E-01,NA,2.72E+02,2.37E+02,1.00E-01,1.00E+00,1.74E+00,2.88E-14
Methylenediphenyl Diisocyanate,000101-68-8,4.15E-03,1.96E+02,3.61E-02,7.23E-03,1.20E+00,2.42E-02,6.15E-06,1.28E+03,3.66E-05,NA,2.85E+05,1.81E-01,5.22E+00,1.31E-03,3.80E+01,2.50E+02,1.00E-01,1.00E+00,1.84E+00,5.00E-06
Methylisothiocyanate,000556-61-6,2.18E-07,1.19E+02,1.10E+01,2.19E+00,1.07E+00,1.02E-01,1.20E-05,3.16E+00,1.83E-03,NA,1.07E+01,2.57E-03,9.40E-01,6.88E-08,3.60E+01,7.31E+01,NA,1.00E+00,7.60E+03,3.54E+00
Methylnaphthalene,001321-94-4,1.85E-04,2.40E+02,2.19E-01,4.38E-02,NA,6.97E-02,8.15E-06,NA,2.10E-02,NA,2.53E+03,9.31E-02,3.87E+00,5.86E-05,3.40E+01,1.42E+02,1.00E-01,1.00E+00,2.50E+01,6.70E-02
"Methylnaphthalene, 1-",000090-12-0,1.85E-04,2.40E+02,2.19E-01,4.38E-02,1.02E+00,5.28E-02,7.85E-06,5.33E+01,2.10E-02,NA,2.53E+03,9.31E-02,3.87E+00,5.86E-05,3.40E+01,1.42E+02,1.30E-01,1.00E+00,2.58E+01,6.70E-02
"Methylnaphthalene, 2-",000091-57-6,1.81E-04,2.41E+02,2.22E-01,4.44E-02,1.01E+00,5.24E-02,7.78E-06,7.47E+01,2.12E-02,NA,2.48E+03,9.17E-02,3.86E+00,5.72E-05,3.44E+01,1.42E+02,1.30E-01,1.00E+00,2.46E+01,5.50E-02
"Methylstyrene, Alpha-",000098-83-9,7.55E-05,1.65E+02,3.69E-01,7.38E-02,9.11E-01,6.29E-02,8.19E-06,6.24E+01,1.04E-01,NA,6.98E+02,6.99E-02,3.48E+00,2.39E-05,-2.32E+01,1.18E+02,NA,1.00E+00,1.16E+02,1.50E+00
Methylthiouracil,000056-04-2,NA,2.69E+02,NA,NA,NA,6.97E-02,8.15E-06,4.20E+00,5.15E-08,NA,1.22E+02,2.29E-03,1.45E+00,NA,3.30E+02,1.42E+02,1.00E-01,1.00E+00,5.33E+02,1.38E-06
Methyltriethyl Lead,001762-28-3,NA,7.00E+01,NA,NA,1.71E+00,2.56E-02,6.71E-06,3.67E+02,2.54E+01,NA,3.31E+02,2.38E-02,4.39E+00,NA,-2.29E+01,3.09E+02,1.00E-01,1.00E+00,6.98E+02,1.31E+00
Metolachlor,051218-45-2,3.37E-05,2.82E+02,5.89E-01,1.18E-01,1.12E+00,2.19E-02,5.48E-06,3.81E+01,3.68E-07,NA,4.89E+02,3.39E-03,3.13E+00,1.07E-05,-4.00E+01,2.84E+02,1.00E-01,1.00E+00,5.30E+02,3.14E-05
Metribuzin,021087-64-9,1.25E-06,3.67E+02,3.98E+00,7.95E-01,1.31E+00,2.73E-02,7.13E-06,6.15E+00,4.78E-09,NA,5.31E+01,1.32E-03,1.70E+00,3.96E-07,1.26E+02,2.14E+02,1.00E-01,1.00E+00,1.05E+03,4.35E-07
Michler's ketone,000090-94-8,1.85E-04,3.60E+02,2.19E-01,4.38E-02,NA,4.57E-02,5.34E-06,2.79E+01,2.01E-08,NA,3.31E+02,1.82E-02,3.87E+00,5.86E-05,1.79E+02,2.68E+02,1.00E-01,1.00E+00,4.00E+02,8.90E-07
Midrange Aliphatic Hydrocarbon Streams,000000-05-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+00,NA,NA
Mineral oils,008012-95-1,3.15E-02,2.16E+02,1.12E-02,2.23E-03,NA,6.18E-02,7.22E-06,NA,3.34E+02,NA,4.82E+03,1.96E+00,6.10E+00,9.95E-03,-9.60E+00,1.70E+02,1.00E-01,1.00E+00,3.70E-03,1.35E-01
Mirex,002385-85-5,1.94E-01,3.66E+02,3.88E-03,7.77E-04,NA,2.85E-02,3.33E-06,2.06E+04,3.32E-02,NA,3.57E+05,5.16E-02,6.89E+00,6.13E-02,4.85E+02,5.46E+02,1.00E-01,1.00E+00,8.50E-02,8.00E-07
Mitomycin C,000050-07-7,9.95E-09,5.34E+02,6.57E+01,1.31E+01,NA,3.94E-02,4.61E-06,3.16E+00,4.66E-23,NA,2.78E+02,1.13E-05,-4.00E-01,3.15E-09,3.60E+02,3.34E+02,1.00E-01,1.00E+00,1.00E+06,4.45E-11
Molinate,002212-67-1,4.05E-05,2.02E+02,5.29E-01,1.06E-01,1.06E+00,3.16E-02,6.82E-06,2.60E+01,1.68E-04,NA,1.82E+02,1.89E-02,3.21E+00,1.28E-05,6.96E+01,1.87E+02,1.00E-01,1.00E+00,9.70E+02,5.60E-03
Molybdenum,007439-98-7,6.00E-03,4.64E+03,2.50E-01,6.25E-02,1.02E+01,NA,NA,1.00E+01,NA,2.00E+01,NA,1.00E-03,NA,1.50E-03,2.62E+03,9.59E+01,NA,1.00E+00,NA,0.00E+00
Monoaluminum phosphate,013530-50-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,3.18E+02,NA,1.00E+00,NA,NA
Monoammonium phosphate,007722-76-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,1.15E+02,NA,1.00E+00,NA,NA
Monobutyltin Compounds,000000-01-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Monocalcium phosphate,007758-23-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-03,NA,NA,NA,2.34E+02,NA,1.00E+00,NA,NA
Monochloramine,010599-90-3,NA,NA,NA,NA,NA,NA,NA,1.00E+03,NA,NA,NA,1.00E-03,NA,NA,-6.60E+01,5.15E+01,NA,1.00E+00,NA,NA
Monochlorobutanes,025154-42-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Monochlorophenols (total),000000-04-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
Monocrotaline,000315-22-0,NA,5.03E+02,NA,NA,NA,4.02E-02,4.69E-06,3.16E+00,5.52E-11,NA,1.00E+01,3.85E-06,-1.18E+00,NA,1.97E+02,3.25E+02,1.00E-01,1.00E+00,1.00E+06,7.53E-13
Monocyclic aromatic hydrocarbons (total),000000-04-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
